Namespace(batch_norm=0, best_model_path='./', dataset='cornell', dataset_path='../', epochs=300, gamma=0.8, idx_split=5, ks='[1,2]', l2_coef=5e-06, lr=0.5, max_iter=300, model='MGNNI_m_att', path='./results/', self_loops=1, threshold=1e-06)
Epoch [185]   train loss: 0.1498  val acc: 0.7797  test acc: 0.7838
Epoch [186]   train loss: 0.1260  val acc: 0.7797  test acc: 0.7838
Epoch [187]   train loss: 0.1198  val acc: 0.7797  test acc: 0.7838
Epoch [188]   train loss: 0.1091  val acc: 0.7797  test acc: 0.7838
Epoch [189]   train loss: 0.1259  val acc: 0.7797  test acc: 0.7838
Epoch [190]   train loss: 0.1211  val acc: 0.7797  test acc: 0.7838
Epoch [191]   train loss: 0.1303  val acc: 0.7797  test acc: 0.7838
Epoch [192]   train loss: 0.1414  val acc: 0.7627  test acc: 0.7838
Epoch [193]   train loss: 0.1335  val acc: 0.7627  test acc: 0.7838
Epoch [194]   train loss: 0.1205  val acc: 0.7458  test acc: 0.7838
Epoch [195]   train loss: 0.1048  val acc: 0.7458  test acc: 0.7838
Epoch [196]   train loss: 0.1264  val acc: 0.7458  test acc: 0.7838
Epoch [197]   train loss: 0.1086  val acc: 0.7458  test acc: 0.7838
Epoch [198]   train loss: 0.1171  val acc: 0.7458  test acc: 0.7838
Epoch [199]   train loss: 0.1141  val acc: 0.7288  test acc: 0.7838
Epoch [200]   train loss: 0.1178  val acc: 0.7458  test acc: 0.7838
Epoch [201]   train loss: 0.1281  val acc: 0.7627  test acc: 0.7838
Epoch [202]   train loss: 0.1675  val acc: 0.7627  test acc: 0.7838
Epoch [203]   train loss: 0.1225  val acc: 0.7627  test acc: 0.7838
Epoch [204]   train loss: 0.1135  val acc: 0.7627  test acc: 0.7838
Epoch [205]   train loss: 0.1223  val acc: 0.7627  test acc: 0.7838
Epoch [206]   train loss: 0.1536  val acc: 0.7627  test acc: 0.7838
Epoch [207]   train loss: 0.1124  val acc: 0.7458  test acc: 0.7838
Epoch [208]   train loss: 0.1316  val acc: 0.7458  test acc: 0.7838
Epoch [209]   train loss: 0.1167  val acc: 0.7288  test acc: 0.7568
Epoch [210]   train loss: 0.1404  val acc: 0.7288  test acc: 0.7568
Epoch [211]   train loss: 0.1288  val acc: 0.7288  test acc: 0.7568
Epoch [212]   train loss: 0.1272  val acc: 0.7288  test acc: 0.7568
Epoch [213]   train loss: 0.1431  val acc: 0.7288  test acc: 0.7568
Epoch [214]   train loss: 0.1460  val acc: 0.7288  test acc: 0.7568
Epoch [215]   train loss: 0.1502  val acc: 0.7458  test acc: 0.7838
Epoch [216]   train loss: 0.1196  val acc: 0.7458  test acc: 0.7838
Epoch [217]   train loss: 0.1220  val acc: 0.7458  test acc: 0.7838
Epoch [218]   train loss: 0.1125  val acc: 0.7288  test acc: 0.7838
Epoch [219]   train loss: 0.1575  val acc: 0.7458  test acc: 0.7838
Epoch [220]   train loss: 0.1234  val acc: 0.7458  test acc: 0.7838
Epoch [221]   train loss: 0.1293  val acc: 0.7458  test acc: 0.7838
Epoch [222]   train loss: 0.1299  val acc: 0.7458  test acc: 0.7838
Epoch [223]   train loss: 0.1392  val acc: 0.7458  test acc: 0.7838
Epoch [224]   train loss: 0.1172  val acc: 0.7627  test acc: 0.7838
Epoch [225]   train loss: 0.1148  val acc: 0.7797  test acc: 0.7838
Epoch [226]   train loss: 0.1287  val acc: 0.7966  test acc: 0.7838
Epoch [227]   train loss: 0.1311  val acc: 0.7627  test acc: 0.7838
Epoch [228]   train loss: 0.1334  val acc: 0.7627  test acc: 0.7568
Epoch [229]   train loss: 0.1087  val acc: 0.7627  test acc: 0.7568
Epoch [230]   train loss: 0.1167  val acc: 0.7627  test acc: 0.7568
Epoch [231]   train loss: 0.1173  val acc: 0.7627  test acc: 0.7568
Epoch [232]   train loss: 0.1350  val acc: 0.7458  test acc: 0.7568
Epoch [233]   train loss: 0.1392  val acc: 0.7627  test acc: 0.7568
Epoch [234]   train loss: 0.1364  val acc: 0.7627  test acc: 0.7297
Epoch [235]   train loss: 0.1340  val acc: 0.7627  test acc: 0.7297
Epoch [236]   train loss: 0.1216  val acc: 0.7627  test acc: 0.7568
Epoch [237]   train loss: 0.1076  val acc: 0.7458  test acc: 0.7568
Epoch [238]   train loss: 0.1349  val acc: 0.7288  test acc: 0.7568
Epoch [239]   train loss: 0.1267  val acc: 0.7288  test acc: 0.7568
Epoch [240]   train loss: 0.1156  val acc: 0.7288  test acc: 0.7568
Epoch [241]   train loss: 0.1336  val acc: 0.7288  test acc: 0.7568
Epoch [242]   train loss: 0.1284  val acc: 0.7288  test acc: 0.7568
Epoch [243]   train loss: 0.1472  val acc: 0.7288  test acc: 0.7838
Epoch [244]   train loss: 0.1334  val acc: 0.7458  test acc: 0.7838
Epoch [245]   train loss: 0.1250  val acc: 0.7458  test acc: 0.7838
Epoch [246]   train loss: 0.1283  val acc: 0.7627  test acc: 0.7838
Epoch [247]   train loss: 0.1346  val acc: 0.7627  test acc: 0.7838
Epoch [248]   train loss: 0.1261  val acc: 0.7627  test acc: 0.7838
Epoch [249]   train loss: 0.1399  val acc: 0.7627  test acc: 0.7838
Epoch [250]   train loss: 0.1140  val acc: 0.7627  test acc: 0.7838
Epoch [251]   train loss: 0.1488  val acc: 0.7627  test acc: 0.7838
Epoch [252]   train loss: 0.1416  val acc: 0.7627  test acc: 0.7838
Epoch [253]   train loss: 0.1589  val acc: 0.7627  test acc: 0.7838
Epoch [254]   train loss: 0.1143  val acc: 0.7458  test acc: 0.7838
Epoch [255]   train loss: 0.1310  val acc: 0.7288  test acc: 0.7838
Epoch [256]   train loss: 0.1246  val acc: 0.7288  test acc: 0.7838
Epoch [257]   train loss: 0.1304  val acc: 0.7288  test acc: 0.7838
Epoch [258]   train loss: 0.1298  val acc: 0.7288  test acc: 0.7838
Epoch [259]   train loss: 0.1194  val acc: 0.7288  test acc: 0.7838
Epoch [260]   train loss: 0.1157  val acc: 0.7288  test acc: 0.7568
Epoch [261]   train loss: 0.1333  val acc: 0.7288  test acc: 0.7568
Epoch [262]   train loss: 0.1145  val acc: 0.7288  test acc: 0.7568
Epoch [263]   train loss: 0.1236  val acc: 0.7288  test acc: 0.7568
Epoch [264]   train loss: 0.1233  val acc: 0.7288  test acc: 0.7568
Epoch [265]   train loss: 0.1213  val acc: 0.7288  test acc: 0.7838
Epoch [266]   train loss: 0.1360  val acc: 0.7458  test acc: 0.7838
Epoch [267]   train loss: 0.1171  val acc: 0.7458  test acc: 0.7838
Epoch [268]   train loss: 0.1401  val acc: 0.7458  test acc: 0.7838
Epoch [269]   train loss: 0.1417  val acc: 0.7458  test acc: 0.7838
Epoch [270]   train loss: 0.1251  val acc: 0.7458  test acc: 0.7838
Epoch [271]   train loss: 0.1501  val acc: 0.7458  test acc: 0.7838
Epoch [272]   train loss: 0.1230  val acc: 0.7458  test acc: 0.7838
Epoch [273]   train loss: 0.1287  val acc: 0.7458  test acc: 0.7838
Epoch [274]   train loss: 0.1316  val acc: 0.7627  test acc: 0.7838
Epoch [275]   train loss: 0.1266  val acc: 0.7458  test acc: 0.7838
Epoch [276]   train loss: 0.1304  val acc: 0.7458  test acc: 0.7838
Epoch [277]   train loss: 0.1247  val acc: 0.7288  test acc: 0.7838
Epoch [278]   train loss: 0.1155  val acc: 0.7288  test acc: 0.7568
Epoch [279]   train loss: 0.1265  val acc: 0.7288  test acc: 0.7568
Epoch [280]   train loss: 0.1246  val acc: 0.7288  test acc: 0.7568
Epoch [281]   train loss: 0.1164  val acc: 0.7288  test acc: 0.7568
Epoch [282]   train loss: 0.1092  val acc: 0.7288  test acc: 0.7568
Epoch [283]   train loss: 0.1255  val acc: 0.7288  test acc: 0.7568
Epoch [284]   train loss: 0.1437  val acc: 0.7458  test acc: 0.7568
Epoch [285]   train loss: 0.1473  val acc: 0.7627  test acc: 0.7568
Epoch [286]   train loss: 0.1463  val acc: 0.7627  test acc: 0.7568
Epoch [287]   train loss: 0.1304  val acc: 0.7797  test acc: 0.7838
Epoch [288]   train loss: 0.1276  val acc: 0.7797  test acc: 0.7838
Epoch [289]   train loss: 0.1262  val acc: 0.7797  test acc: 0.7838
Epoch [290]   train loss: 0.1583  val acc: 0.7627  test acc: 0.7838
Epoch [291]   train loss: 0.1481  val acc: 0.7458  test acc: 0.7838
Epoch [292]   train loss: 0.1406  val acc: 0.7458  test acc: 0.7838
Epoch [293]   train loss: 0.1474  val acc: 0.7458  test acc: 0.7838
Epoch [294]   train loss: 0.1156  val acc: 0.7458  test acc: 0.7838
Epoch [295]   train loss: 0.1134  val acc: 0.7458  test acc: 0.7838
Epoch [296]   train loss: 0.1613  val acc: 0.7458  test acc: 0.7568
Epoch [297]   train loss: 0.1197  val acc: 0.7458  test acc: 0.7568
Epoch [298]   train loss: 0.1179  val acc: 0.7458  test acc: 0.7568
Epoch [299]   train loss: 0.1191  val acc: 0.7458  test acc: 0.7568
Epoch [300]   train loss: 0.1299  val acc: 0.7458  test acc: 0.7568
the best val acc: 0.7458
Test acc:  0.7838
